Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS - fail TS,Chrome 89.0.4389.90,,,2021-03-16 15:08:09,2021-03-16 15:09:29,1m - 20.724s,FAILED
,,,,,,,
Test Cases/TC2 - Login - Continue Record,Chrome 89.0.4389.90,,,2021-03-16 15:08:13,2021-03-16 15:08:46,32.500s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-16 15:08:16,2021-03-16 15:08:30,13.668s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 89.0.4389.90,,,2021-03-16 15:08:30,2021-03-16 15:08:39,8.989s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 89.0.4389.90,,,2021-03-16 15:08:39,2021-03-16 15:08:41,2.154s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 89.0.4389.90,,,2021-03-16 15:08:41,2021-03-16 15:08:43,1.743s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 89.0.4389.90,,,2021-03-16 15:08:43,2021-03-16 15:08:44,0.849s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 89.0.4389.90,,,2021-03-16 15:08:44,2021-03-16 15:08:46,1.631s,PASSED
,,,,,,,
Test Cases/TC1 - Login Fail TC,Chrome 89.0.4389.90,,,2021-03-16 15:08:46,2021-03-16 15:09:09,23.938s,FAILED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-16 15:08:46,2021-03-16 15:08:48,1.860s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 89.0.4389.90,,,2021-03-16 15:08:48,2021-03-16 15:08:52,3.784s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 89.0.4389.90,,,2021-03-16 15:08:52,2021-03-16 15:08:53,0.960s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 89.0.4389.90,,,2021-03-16 15:08:53,2021-03-16 15:08:54,0.876s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""+wDuQPYY451ApK/Bw9SXomwWS5hjrGj8"")",Chrome 89.0.4389.90,,,2021-03-16 15:08:54,2021-03-16 15:08:54,0.478s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 89.0.4389.90,,,2021-03-16 15:08:54,2021-03-16 15:08:55,1.418s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/p_Login failed Please ensure the username a_eb55b5""), 0)",Chrome 89.0.4389.90,,,2021-03-16 15:08:55,2021-03-16 15:08:56,0.383s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""WRONG ID LOGIN"")",Chrome 89.0.4389.90,,,2021-03-16 15:08:56,2021-03-16 15:08:57,0.846s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 89.0.4389.90,,,2021-03-16 15:08:57,2021-03-16 15:08:57,0.474s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 89.0.4389.90,,,2021-03-16 15:08:57,2021-03-16 15:08:58,1.283s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 89.0.4389.90,,,2021-03-16 15:08:58,2021-03-16 15:09:09,11.013s,FAILED
,,,,,,,
Test Cases/TC1 - Login - Record n Play back,Chrome 89.0.4389.90,,,2021-03-16 15:09:10,2021-03-16 15:09:29,19.982s,PASSED
"openBrowser("""")",Chrome 89.0.4389.90,,,2021-03-16 15:09:10,2021-03-16 15:09:12,1.738s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 89.0.4389.90,,,2021-03-16 15:09:12,2021-03-16 15:09:16,4.103s,PASSED
"doubleClick(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 89.0.4389.90,,,2021-03-16 15:09:16,2021-03-16 15:09:17,1.272s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""Wrong password"")",Chrome 89.0.4389.90,,,2021-03-16 15:09:17,2021-03-16 15:09:18,0.918s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""9NLz+4tGZcQ="")",Chrome 89.0.4389.90,,,2021-03-16 15:09:18,2021-03-16 15:09:19,0.410s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""Wrong ID"")",Chrome 89.0.4389.90,,,2021-03-16 15:09:19,2021-03-16 15:09:20,0.857s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""S0mp/5VcLuM="")",Chrome 89.0.4389.90,,,2021-03-16 15:09:20,2021-03-16 15:09:20,0.518s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 89.0.4389.90,,,2021-03-16 15:09:20,2021-03-16 15:09:21,1.262s,PASSED
